Tahun,Provinsi,Kabupaten/Kota,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
2024,Jawa Timur,Kab. Pacitan,68.2,2.9,8.2,17.2,0.3,0.2,0.3,0.5,2.2
2024,Jawa Timur,Kab. Ponorogo,20.0,25.11,16.53,21.89,0.48,6.62,1.43,0.6,7.34
2024,Jawa Timur,Kab. Trenggalek,45.0,12.0,13.0,21.0,2.0,1.0,3.0,1.0,2.0
2024,Jawa Timur,Kab. Tulungagung,18.17,44.81,12.6,17.3,1.3,0.6,0.92,0.6,3.7
2024,Jawa Timur,Kab. Blitar,40.0,15.0,11.55,15.0,0.9,1.94,0.52,0.92,14.17
2024,Jawa Timur,Kab. Kediri,45.32,12.47,4.28,16.72,10.0,1.02,0.63,1.62,7.94
2024,Jawa Timur,Kab. Malang,,,,,,,,,
2024,Jawa Timur,Kab. Lumajang,43.3,16.25,9.3,15.3,1.17,2.25,2.3,1.3,8.83
2024,Jawa Timur,Kab. Jember,50.0,10.0,5.0,30.0,2.0,1.0,1.0,1.0,
2024,Jawa Timur,Kab. Banyuwangi,,,,,,,,,
2024,Jawa Timur,Kab. Bondowoso,33.04,13.15,15.56,20.71,0.3,1.5,0.9,0.9,13.94
2024,Jawa Timur,Kab. Situbondo,41.2,15.7,17.3,23.9,0.8,0.4,0.1,0.2,0.4
2024,Jawa Timur,Kab. Probolinggo,40.02,12.25,15.4,17.21,0.45,5.15,1.77,2.08,5.67
2024,Jawa Timur,Kab. Pasuruan,58.5,1.0,5.7,10.0,1.3,0.5,1.0,1.0,21.0
2024,Jawa Timur,Kab. Sidoarjo,,,,,,,,,
2024,Jawa Timur,Kab. Mojokerto,47.88,1.91,19.54,21.07,0.53,0.47,0.17,0.24,8.19
2024,Jawa Timur,Kab. Jombang,49.0,12.0,8.0,15.0,1.8,5.0,1.6,1.6,6.0
2024,Jawa Timur,Kab. Nganjuk,61.5,2.0,13.1,12.3,6.0,1.0,1.0,1.0,2.1
2024,Jawa Timur,Kab. Madiun,39.8,11.3,13.3,19.7,5.34,2.65,2.02,4.91,0.98
2024,Jawa Timur,Kab. Magetan,36.28,25.01,8.22,14.25,0.31,1.35,2.81,3.22,8.55
2024,Jawa Timur,Kab. Ngawi,59.47,6.92,11.17,10.71,1.77,0.81,1.61,1.33,6.21
2024,Jawa Timur,Kab. Bojonegoro,,,,,,,,,
2024,Jawa Timur,Kab. Tuban,58.52,15.32,5.78,11.02,0.17,1.62,0.1,1.33,6.14
2024,Jawa Timur,Kab. Lamongan,30.0,12.0,9.0,18.0,8.0,2.0,2.0,1.0,18.0
2024,Jawa Timur,Kab. Gresik,55.29,10.29,4.47,11.58,0.47,4.84,2.02,1.37,9.66
2024,Jawa Timur,Kab. Bangkalan,52.32,15.32,9.72,14.97,0.43,1.02,0.29,2.93,3.0
2024,Jawa Timur,Kab. Sampang,43.0,10.0,5.0,13.0,1.0,2.0,1.0,5.0,20.0
2024,Jawa Timur,Kab. Pamekasan,55.0,4.0,7.0,13.0,3.0,5.0,2.0,2.0,9.0
2024,Jawa Timur,Kab. Sumenep,41.92,11.34,9.89,24.77,0.89,8.04,0.74,1.15,1.26
2024,Jawa Timur,Kota Kediri,61.2,7.0,13.5,12.6,2.5,0.7,0.5,0.5,1.5
2024,Jawa Timur,Kota Blitar,42.4,13.2,8.56,16.5,3.8,2.6,2.85,2.94,7.15
2024,Jawa Timur,Kota Malang,57.86,3.8,8.0,16.45,0.99,0.53,0.27,1.78,10.32
2024,Jawa Timur,Kota Probolinggo,6.58,39.16,8.08,10.89,6.33,6.86,6.41,7.93,7.76
2024,Jawa Timur,Kota Pasuruan,30.0,10.0,17.72,30.21,8.77,0.03,0.9,1.19,1.18
2024,Jawa Timur,Kota Mojokerto,36.07,11.42,9.88,38.8,1.44,0.12,,2.24,0.03
2024,Jawa Timur,Kota Madiun,59.07,0.6,9.4,16.9,0.62,2.0,0.5,0.8,10.1
2024,Jawa Timur,Kota Surabaya,55.48,2.25,3.05,22.01,0.25,5.75,1.35,0.5,9.36
2024,Jawa Timur,Kota Batu,22.0,,0.45,1.01,0.0,,,0.07,
