Tahun,Provinsi,Kabupaten/Kota,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
2024,Jawa Timur,Kab. Pacitan,68.2,2.9,8.2,17.2,0.3,0.2,0.3,0.5,2.2
2024,Jawa Timur,Kab. Ponorogo,20.0,25.11,16.53,21.89,0.48,6.62,1.43,0.6,7.34
2024,Jawa Timur,Kab. Trenggalek,45.0,12.0,13.0,21.0,2.0,1.0,3.0,1.0,2.0
2024,Jawa Timur,Kab. Tulungagung,18.17,44.81,12.6,17.3,1.3,0.6,0.92,0.6,3.7
2024,Jawa Timur,Kab. Blitar,40.0,15.0,11.55,15.0,0.9,1.94,0.52,0.92,14.17
2024,Jawa Timur,Kab. Kediri,45.32,12.47,4.28,16.72,10.0,1.02,0.63,1.62,7.94
2024,Jawa Timur,Kab. Malang,,,,,,,,,
2024,Jawa Timur,Kab. Lumajang,43.3,16.25,9.3,15.3,1.17,2.25,2.3,1.3,8.83
2024,Jawa Timur,Kab. Jember,50.0,10.0,5.0,30.0,2.0,1.0,1.0,1.0,
2024,Jawa Timur,Kab. Banyuwangi,,,,,,,,,
